,,Tmin,Rainfall,RH,Solar,Wind,Tmax,Discharge
1808,13,6.1,0,0.43,13.45,2.4,19.4,119
1809,14,6.1,5,0.59,12.14,2.26,13.3,118.7
1810,15,5,0,0.68,2.76,3.82,15.6,116.2
1811,16,5.6,0,0.45,14.25,4.43,19.4,116.2
1812,17,6.1,0,0.34,13.99,4.35,17.2,116.2
1813,18,7.2,0,0.41,14.28,4.11,17.8,116.2
1814,19,5.6,0,0.88,14.09,3.67,18.3,116.2
1815,20,5,0,0.85,12.61,4.18,17.8,113.4
1816,21,5.6,2.5,0.82,14.04,4.56,18.9,116.2
1817,22,5,0,0.78,13.65,4.45,18.3,116.2
1818,23,3.3,4,0.78,12.05,3.12,13.3,116.2
1819,24,2.8,0,0.79,0.09,7.33,17.8,116.2
1820,25,3.3,0,0.74,14.17,5.24,17.2,116.2
1821,26,2.8,0,0.75,14.06,3.37,16.7,116.2
1822,27,2.2,0,0.67,14.26,3.62,17.8,116.2
1823,28,2.8,0,0.69,14.34,4.05,17.2,116.2
1824,29,2.8,0,0.6,13,3.84,16.7,116.2
1825,30,4.4,0,0.61,14.48,4.67,20,115.9
1826,31,5.6,23,0.63,14.65,3.94,18.9,113.4
1827,1,4.4,0,0.56,14.05,4.07,17.8,113.4
1828,2,3.3,0,0.56,14.58,4.07,18.3,113.4
1829,3,2.8,0,0.51,12.18,4.12,20,113.4
1830,4,2.2,0,0.53,14.19,3.8,19.4,113.4
1831,5,1.7,0,0.53,12.14,2.96,18.3,113.4
1832,6,2.2,0,0.73,9.3,2.48,16.7,113.1
1833,7,3.3,0,0.82,10.45,3.22,19.4,110.5
1834,8,2.2,0,0.89,0.83,2.93,20,110.5
1835,9,3.3,0,0.83,6.77,3,19.4,110.5
1836,10,3.9,0,0.64,14.81,4.48,21.1,110.2
1837,11,2.8,0,0.59,14.89,3.77,15.6,107.7
1838,12,2.8,0,0.55,15.3,3.55,17.8,107.7
1839,13,3.3,0,0.48,15.37,3.44,16.7,107.7
1840,14,2.8,4,0.53,14.93,2.82,17.2,107.7
1841,15,5.6,8,0.74,3.24,3.29,10,107.7
1842,16,4.4,28,0.43,15.96,4.43,9.4,107.7
1843,17,1.1,14.5,0.47,14.26,3.72,7.2,109.1
1844,18,2.2,0,0.45,16.08,3.89,13.3,111.9
1845,19,2.8,0,0.49,16.43,4.26,15.6,107.7
1846,20,5.6,0,0.4,16.54,4.03,17.8,107.4
1847,21,4.4,0,0.29,16.81,3.71,17.2,104.9
1848,22,5.6,0,0.35,17.18,4.84,16.7,104.9
1849,23,4.4,16,0.29,16.81,4.23,10,104.9
1850,24,4.4,0,0.25,15.75,3.62,15.6,104.9
1851,25,5,0,0.34,14.83,3.8,16.7,104.9
1852,26,3.3,0,0.36,17.38,4.81,20,104.9
1853,27,2.8,0,0.36,17.16,3.58,18.9,104.9
1854,28,3.3,0,0.34,16.92,3.52,20,104.9
1855,29,2.8,0,0.37,17.43,3.76,19.4,104.9
1856,30,3.3,0,0.45,17.22,3.69,21.1,104.9
1857,31,2.8,0,0.43,17.31,3.15,22.2,104.6
1858,1,4.4,0,0.53,16.66,3.17,20,102
1859,2,4.4,0,0.83,2.23,2.7,17.8,102
1860,3,5,0,0.67,12.53,2.86,23.3,102
1861,4,3.3,0,0.56,17.8,3.78,23.9,102
1862,5,6.7,0,0.43,18.4,3.9,25,102
1863,6,6.1,0,0.36,18.48,3.77,22.8,102
1864,7,5,0,0.59,15.76,3.62,23.3,102
1865,8,6.7,0,0.59,17.07,4.69,21.1,102
1866,9,6.7,2,0.37,19.32,4.57,21.7,102
1867,10,5.6,0,0.31,19.21,3.42,15.6,102
1868,11,7.8,0,0.35,18.67,3.77,13.3,102
1869,12,5.6,0,0.31,19.66,3.99,20,102
1870,13,6.1,0,0.39,19.67,3.41,22.2,102
1871,14,5.6,0,0.49,19.44,3.55,22.8,102
1872,15,4.4,15,0.45,19.62,3.71,20,102
1873,16,5.6,1,0.73,6.26,3,17.8,102
1874,17,5,0,0.79,2.17,4.04,22.2,102
1875,18,4.4,0,0.82,14.71,2.75,23.9,102
1876,19,6.7,0,0.75,11.69,3.19,24.4,102
1877,20,6.1,0,0.55,20.78,3.55,22.2,102
1878,21,6.7,0,0.48,20.56,4.82,21.1,102
1879,22,5,2,0.4,21.23,4.73,21.7,102
1880,23,4.4,0,0.46,16.43,4.95,22.2,101.7
1881,24,6.7,14,0.5,16.89,3.7,17.8,99.2
1882,25,6.1,14.5,0.42,21.58,4.13,12.2,99.8
1883,26,6.7,14,0.39,21.6,4.07,15.6,102.3
1884,27,5.6,13.5,0.41,21.67,3.93,10,111.7
1885,28,5.6,0,0.5,20.61,3.26,21.1,110
1886,29,6.7,0,0.47,19.08,3.43,24.4,107.4
1887,1,6.7,0,0.44,21.57,3.58,27.8,104.9
1888,2,8.9,0,0.49,21.21,3.15,21.7,104.9
1889,3,7.8,0,0.45,22.22,4,23.3,104.9
1890,4,7.8,0,0.5,21.44,3.67,25.6,104.9
1891,5,10,0,0.5,17.28,4.04,25.6,104.9
1892,6,10.6,0,0.41,23.23,3.56,26.7,104.9
1893,7,11.1,0.5,0.4,22.26,3.41,27.8,105.1
1894,8,8.3,9.2,0.76,5.75,3.07,18.9,110.5
1895,9,8.9,0,0.73,5.86,3.58,24.4,110.5
1896,10,7.8,0,0.88,1.59,2.6,25.6,110.8
1897,11,10.6,0,0.74,7.06,3.1,30,113.6
1898,12,8.9,0,0.43,22.35,4.53,27.8,116.5
1899,13,10.6,0,0.41,23.64,3.6,24.4,119
1900,14,10,0,0.53,16.68,2.27,23.9,119
1901,15,13.3,0,0.46,23.44,3.51,30,119
1902,16,10.6,20.5,0.6,19.93,2.65,17.8,119.6
1903,17,10,4.5,0.56,24.38,3.69,24.4,127.2
1904,18,7.8,43,0.64,22.5,2.75,12.2,125.3
1905,19,8.3,10,0.6,24.89,4.03,13.9,137.4
1906,20,10,0,0.57,24.41,3.3,20,129.8
1907,21,9.4,5.5,0.67,19.1,4.31,24.4,119.3
1908,22,6.7,30,0.64,15.14,3.9,18.9,123
1909,23,7.8,2.5,0.48,23.99,4.26,17.8,142.3
1910,24,6.1,0,0.43,26.71,4.76,18.9,135.7
1911,25,8.9,0,0.45,26.72,4.62,25,130.1
1912,26,10.6,0,0.38,26.79,3.87,25.6,124.4
1913,27,11.1,0,0.42,26.37,4.26,27.8,122.1
1914,28,10.6,0.5,0.4,26.46,4.42,28.9,125
1915,29,12.2,15.5,0.39,23.48,4.94,20,130.9
1916,30,12.2,0.2,0.54,16.25,4.71,28.9,139.4
1917,31,10,0,0.47,21.32,4.06,25.6,146.8
1918,1,7.8,0,0.35,27.32,4.4,25,138.6
1919,2,7.2,0,0.28,28.07,4.28,26.7,133.2
1920,3,10,0,0.3,27.89,3.92,28.3,132.9
1921,4,11.1,0,0.31,27.48,4.38,30,130.6
1922,5,11.7,0,0.31,25.58,3.77,30.6,136.3
1923,6,13.3,0,0.34,25,5.08,28.3,141.7
1924,7,12.2,10,0.28,27.95,4.36,23.3,142
1925,8,13.3,0.2,0.29,27.77,3.9,26.7,144.2
1926,9,10,0,0.29,27.15,3.32,24.4,141.4
1927,10,11.7,0,0.34,25.39,3.57,29.4,136.3
1928,11,11.1,0,0.38,25.24,4.24,26.7,141.7
1929,12,17.8,0,0.31,27.87,4.3,30,142
1930,13,12.2,0,0.49,25.72,4.12,28.9,144.5
1931,14,13.3,0,0.49,26.5,3.31,31.1,145.4
1932,15,13.3,0,0.51,20.45,3.63,33.9,166.1
1933,16,12.8,0,0.52,22.55,2.37,34.4,195.5
1934,17,16.7,0,0.49,27.18,4.2,33.3,241.4
1935,18,15.6,0,0.36,29.35,5.07,32.2,303.2
1936,19,16.1,0,0.37,29.02,3.35,32.8,332.3
1937,20,15.6,2.5,0.4,29.07,4.26,34.4,367
1938,21,11.1,2.5,0.37,28.98,3.78,24.4,385.4
1939,22,14.4,2,0.36,28.25,4.05,25.6,355.7
1940,23,13.3,3,0.33,27.38,3.37,30,307.5
1941,24,10,7.5,0.26,29.91,4.26,25.6,282
1942,25,11.1,4,0.25,30.07,3.76,28.3,302.5
1943,26,13.3,0,0.3,28.24,3.43,30,310.3
1944,27,16.7,0,0.26,27.67,4,33.3,333
1945,28,15.6,0,0.29,29.18,3.97,31.1,374.1
1946,29,17.2,0,0.23,30.92,4.32,32.2,394.6
1947,30,17.8,0,0.2,31.19,4.45,35,404.5
1948,1,13.9,41,0.23,30.87,4.49,30,454.1
1949,2,16.1,0,0.22,30.57,4.2,33.3,399.6
1950,3,17.2,0,0.32,29.51,4.07,33.9,379
1951,4,17.8,2.5,0.43,16.76,3.79,30.6,364.2
1952,5,15.6,0,0.29,30.02,3.33,30,341.5
1953,6,16.1,0,0.4,29.53,3.29,33.9,294.7
1954,7,15.6,0,0.37,28.15,3.2,35.6,296.1
1955,8,17.2,0,0.5,27.79,3.48,36.7,318.8
1956,9,16.7,0,0.45,30.03,2.94,35,361.3
1957,10,17.8,0,0.51,30.73,3.29,34.4,407.4
1958,11,18.9,0,0.41,31.09,3.37,35,400.3
1959,12,17.8,20,0.39,30.88,3.73,31.1,384.7
1960,13,15.6,0,0.47,24.51,3.31,30,349.3
1961,14,15.6,0,0.48,25.67,2.49,31.1,316.7
1962,15,16.1,0,0.62,16.39,3.43,32.2,323.8
1963,16,14.4,3.5,0.43,30.45,3.63,27.8,336.5
1964,17,13.3,2.5,0.38,30.17,3.78,29.4,329.4
1965,18,13.3,8,0.33,31.53,3.84,30.6,316.7
1966,19,15.6,0,0.27,32.26,4.13,29.4,324.5
1967,20,12.2,1,0.37,32.08,3.28,30,344.3
1968,21,15.6,0,0.38,31.42,3.93,33.3,347.1
1969,22,16.1,0,0.37,30.2,3.89,30,389.7
1970,23,17.2,9,0.36,31.22,3.91,31.1,430
1971,24,17.8,0,0.33,31.93,4.16,29.4,442.8
1972,25,16.1,0,0.41,30.93,3.41,28.9,440
1973,26,18.9,0,0.35,29.44,4.69,32.2,505.8
1974,27,18.3,0,0.27,31.9,3.97,35,595.8
1975,28,18.9,0,0.38,28.67,3.5,36.1,652.3
1976,29,16.7,0,0.38,23.98,3.7,34.4,682.3
1977,30,16.7,2.2,0.28,31.72,4.91,28.9,641.2
1978,31,18.9,0,0.38,31.93,4.99,36.7,519.3
1979,1,18.3,0,0.38,31.47,4.36,36.1,489.6
1980,2,17.8,0,0.39,31.38,4.7,35,545.5
1981,3,17.8,0,0.37,31.74,4.21,36.7,593
1982,4,20,0,0.35,31.54,3.52,35.6,602.9
1983,5,15.6,2.5,0.34,31.65,3.32,37.8,653.2
1984,6,16.7,1.5,0.37,31.45,3.24,32.2,597.9
1985,7,16.1,0,0.45,31.25,2.58,32.8,458.4
1986,8,21.1,0,0.39,31.58,2.92,33.9,471.1
1987,9,21.1,0,0.34,31.64,3.55,33.3,577.4
1988,10,21.7,0,0.38,29.79,2.67,33.9,689.3
1989,11,22.2,0,0.51,26.97,3.01,35.6,791.8
1990,12,23.3,0,0.55,26.37,3.12,36.1,930.6
1991,13,21.7,2.5,0.69,14.91,3.25,33.9,1054.2
1992,14,18.3,1.7,0.68,28.36,2.02,29.4,1268.2
1993,15,21.1,0,0.71,29.21,1.94,32.2,1078
1994,16,20.6,3,0.78,26.86,2.16,32.8,962.4
1995,17,21.1,0,0.8,19.78,3.82,32.2,1003.2
1996,18,20,6,0.7,25.78,3.95,34.4,989.6
1997,19,20,0,0.71,25.45,3.53,33.9,1068.9
1998,20,22.2,0,0.65,27.82,3.39,34.4,1152
1999,21,22.2,0,0.61,29.16,3.39,31.1,1184.6
2000,22,20,7.5,0.66,30.04,2.36,36.7,1333.3
2001,23,21.1,17.5,0.6,29.72,3.27,34.4,1443
2002,24,21.1,24.6,0.6,31.3,2.52,33.9,1509.3
2003,25,22.8,0,0.63,29.8,2.94,31.1,1592.6
2004,26,22.2,0,0.63,29.98,2.4,34.4,1524.6
2005,27,22.2,0,0.73,25.41,2.15,33.3,1489.5
2006,28,22.8,0,0.51,31.26,3.19,33.9,1604.8
2007,29,21.1,2.1,0.51,31.23,3,32.2,1601.1
2008,30,17.8,8,0.52,31.2,3.4,32.8,1533.1
2009,1,18.9,0,0.66,28.98,3.05,26.7,1222.8
2010,2,18.9,0,0.67,24.73,3.31,27.2,874
2011,3,21.1,0,0.62,26.11,3.32,33.9,666
2012,4,22.8,0,0.55,28.16,3.19,34.4,636.2
2013,5,20,11.5,0.62,27.68,3.56,27.8,768.8
2014,6,21.1,0.5,0.63,28.34,2.64,32.2,739.1
2015,7,21.7,0,0.66,24.07,3.06,33.3,665.2
2016,8,18.9,4.5,0.71,17.76,4.14,34.4,632
2017,9,18.9,6.8,0.63,26.45,3.32,36.7,686.5
2018,10,23.3,0,0.71,26.59,2.26,34.4,823.4
2019,11,22.8,1,0.67,27.59,2.91,30,968
2020,12,22.2,1,0.63,24.75,3.11,27.8,1040.6
2021,13,22.8,0,0.67,23.06,4.12,31.1,1085.9
2022,14,21.1,0,0.59,27.62,2.83,33.9,1059.9
2023,15,20,0.5,0.58,29.75,2.58,32.2,957.8
2024,16,21.1,36.7,0.77,21.41,2.2,32.2,833.6
2025,17,22.2,0,0.59,23.1,2.76,34.4,739.9
2026,18,21.1,1,0.69,26.49,3.07,33.3,777
2027,19,23.3,0,0.76,25.21,2.19,35.6,904.6
2028,20,24.4,0,0.78,24.08,3.07,36.7,939.7
2029,21,18.9,0,0.88,24.11,2.04,34.4,968
2030,22,16.7,0,0.88,22.53,1.58,35.6,935.2
2031,23,20,10,0.86,26.14,1.96,34.4,964.6
2032,24,20,6.5,0.88,24.18,2.28,28.9,968
2033,25,20,6.4,0.86,23.41,2.01,32.2,831.6
2034,26,21.1,2,0.8,21.51,1.74,33.9,839.7
2035,27,22.8,0,0.79,13.22,1.86,35.6,853
2036,28,23.3,0,0.79,14.83,1.39,33.3,900
2037,29,22.2,0.5,0.85,6.53,2.27,30,1005.5
2038,30,21.7,1.8,0.8,24.95,1.87,32.2,1022.5
2039,31,22.2,0,0.82,25.73,1.83,31.1,1025.9
2040,1,21.1,0,0.8,19.45,1.85,30.6,980.5
2041,2,21.7,2.5,0.8,25.47,2.03,35,914.8
2042,3,22.8,1.2,0.87,20.67,1.37,33.9,905.7
2043,4,23.3,1.5,0.89,16.53,1.83,33.3,920.4
2044,5,22.2,0,0.96,8.56,1.43,32.8,851
2045,6,22.8,0,0.88,19.03,1.64,31.7,888.7
2046,7,21.7,0,0.89,10.52,1.18,35.6,1013.4
2047,8,22.8,0.7,0.89,17.66,1.81,36.1,996.4
2048,9,23.3,0,0.92,9.73,2.16,35.6,961.2
2049,10,21.7,5.9,0.81,16.35,2.91,35,944.2
2050,11,21.1,2.5,0.89,12.15,3.64,32.2,957.8
2051,12,22.2,3.7,0.74,20.2,3.11,30,1119.4
2052,13,21.7,3.8,0.72,26.2,2.14,32.2,1255.4
2053,14,21.1,15.8,0.92,3.18,4,31.1,1255.7
2054,15,20,39.2,0.88,17.11,3.53,28.3,1237
2055,16,21.7,3,0.87,17.55,2.98,32.2,1218.6
2056,17,21.7,10.2,0.82,18.85,3.25,30.6,1057.6
2057,18,21.1,7.5,0.68,26.17,3.19,31.7,987.3
2058,19,21.7,0,0.64,26.72,3.03,34.4,909.1
2059,20,21.1,0,0.82,25.76,2.5,33.3,856.1
2060,21,20,15,0.84,24.96,2.42,30,715.3
2061,22,21.1,17.5,0.84,24.73,2.33,24.4,734
2062,23,20,0,0.77,25.69,2.09,25.6,705.1
2063,24,16.7,18,0.85,24.1,1.68,22.2,695.7
2064,25,17.8,6,0.79,25.29,2.05,23.3,726.3
2065,26,18.9,0,0.81,25.42,1.75,32.8,651.1
2066,27,18.3,0,0.74,25.1,3.1,34.4,586.6
2067,28,22.2,3.6,0.72,25.28,2.85,33.3,562.5
2068,29,21.1,7.5,0.79,24.81,1.84,32.2,568.2
2069,30,21.7,0,0.82,18.7,1.68,31.1,574.6
2070,31,22.2,0,0.85,20.14,1.79,33.3,577.4
2071,1,21.1,0,0.91,10.01,2.21,33.9,583.8
2072,2,22.2,0.5,0.84,11.81,2.23,33.3,545.5
2073,3,21.7,10.5,0.83,8.68,4.68,26.7,536.3
2074,4,20,8.7,0.7,24.25,3.62,30.6,542
2075,5,19.4,0,0.67,24.41,3.23,33.3,551.2
2076,6,21.1,2,0.73,24.21,2.75,32.8,516.5
2077,7,19.4,0.4,0.75,23.61,2.19,30,508
2078,8,18.9,14.5,0.69,21.52,2.65,29.4,508.7
2079,9,17.8,33.5,0.63,23.67,3.39,21.1,631.2
2080,10,18.3,13.5,0.65,23.87,2.7,20.6,572.4
2081,11,17.2,1,0.58,23.29,3.83,28.3,542.7
2082,12,16.7,0,0.59,23.5,4.13,32.2,499.5
2083,13,22.2,0,0.61,23.61,3.61,33.9,481
2084,14,20,0,0.53,23.56,4.12,33.3,464.8
2085,15,17.8,1.5,0.51,23.42,4.11,28.9,461.2
2086,16,17.2,0.5,0.49,23.4,4.14,30,442.1
2087,17,16.1,0,0.51,23.22,3.54,32.2,421.5
2088,18,15.6,0,0.47,23.34,3.86,32.8,403.8
2089,19,14.4,0.2,0.47,22.8,3.82,25.6,374.1
2090,20,14.4,0,0.48,22.85,3.53,30,347.1
2091,21,23.3,0,0.54,22.33,3.51,31.1,332.3
2092,22,24.4,0,0.47,22.33,3.94,32.2,323.1
2093,23,23.3,0,0.48,22,3.82,33.3,319.5
2094,24,20,0,0.55,21.64,2.52,33.3,316
2095,25,22.2,0,0.54,20.42,2.85,34.4,308.2
2096,26,21.1,0,0.46,21.18,3.08,32.2,301.8
2097,27,23.3,0,0.6,19.1,2.82,32.2,294.7
2098,28,23.3,0,0.5,21.57,3.78,33.3,287.6
2099,29,22.2,0,0.35,22.21,4.28,31.1,280.6
2100,30,23.3,0,0.38,22.05,4.24,32.2,280.6
2101,1,15.6,0,0.4,21.71,4.13,31.7,273.5
2102,2,16.1,0,0.42,21.17,4.13,32.8,266.4
2103,3,14.4,0,0.36,21.24,3.99,33.3,260.7
2104,4,15.6,0,0.34,20.92,3.57,32.2,254.5
2105,5,14.4,13.5,0.43,20.5,3.41,25,249.4
2106,6,13.9,0,0.38,20.41,3.6,28.9,248.8
2107,7,16.7,0,0.32,20.42,4.26,29.4,237.5
2108,8,13.3,0,0.36,20.23,4.38,30,226.4
2109,9,15,0,0.31,20.52,4.16,29.4,214.8
2110,10,13.9,0,0.36,20.01,4.03,31.1,209.7
2111,11,12.8,0,0.3,19.7,4.23,30,209.1
2112,12,12.8,0,0.17,20.11,3.95,30.6,204
2113,13,12.2,0,0.37,19.24,3.01,29.4,203.5
2114,14,12.2,0,0.29,18.07,3.18,30,197.8
2115,15,11.1,0,0.38,19.1,3.73,29.4,192.7
2116,16,10.6,0,0.32,19.1,4.39,30,192.1
2117,17,12.2,0,0.3,19.37,4.27,29.4,186.5
2118,18,11.7,0,0.37,19,3.68,30.6,181.4
2119,19,12.2,0,0.33,18.93,3.91,27.2,180.8
2120,20,11.7,0,0.33,18.67,3.82,29.4,175.7
2121,21,10.6,16.8,0.37,18.45,3.86,28.9,175.7
2122,22,10,5.5,0.32,18.58,4.16,18.9,175.1
2123,23,13.9,0,0.3,18.29,4.88,26.7,169.5
2124,24,10,0,0.29,18.34,3.9,27.2,164.4
2125,25,10.6,0,0.17,18.44,4.2,27.8,163.8
2126,26,8.9,0,0.27,18.3,4.8,28.3,158.7
2127,27,10,0,0.29,18.03,3.94,27.8,158.7
2128,28,11.1,0,0.29,17.88,3.78,28.9,158.7
2129,29,10.6,0,0.26,17.56,4.13,29.4,158.1
2130,30,10.6,0,0.19,17.79,4.49,28.9,153
2131,31,11.1,0,0.17,17.66,4.04,30,153
2132,1,10.6,0,0.17,17.73,3.73,30.6,153
2133,2,9.4,0,0.19,17.5,3.71,30,152.7
2134,3,8.9,0,0.13,17.27,3.74,28.9,150.2
2135,4,10,0,0.12,17.1,3.71,28.3,150.2
2136,5,10.6,0,0.2,16.87,4.16,27.8,150.2
2137,6,10.6,0,0.16,16.74,4.1,28.9,149.9
2138,7,10,0,0.14,16.67,3.88,29.4,147.4
2139,8,9.4,0,0.25,16.83,4.49,28.3,147.1
2140,9,8.9,0,0.21,16.48,4.08,27.8,144.5
2141,10,8.9,0,0.28,15.26,3.26,26.7,144.2
2142,11,8.9,0,0.41,12.99,2.95,27.2,141.4
2143,12,7.8,0,0.28,13.79,3.68,26.7,138.9
2144,13,7.8,0,0.34,12.25,4.16,25.6,138.9
2145,14,7.2,0,0.35,15.12,4.42,26.1,138.9
2146,15,7.2,0,0.31,15.67,4.11,25.6,138.6
2147,16,6.7,0,0.32,15.46,3.47,24.4,135.7
2148,17,5.6,0,0.26,15.48,3.74,25,133.2
2149,18,6.7,0,0.28,15.28,4.3,22.2,133.2
2150,19,7.8,0,0.36,15.29,3.78,21.1,133.2
2151,20,7.2,0,0.37,15.13,4.19,16.7,133.2
2152,21,7.8,0,0.35,15.08,4.53,23.9,133.2
2153,22,5.6,0,0.33,15.21,4.25,17.8,132.9
2154,23,5.6,0,0.33,13.89,4.21,26.1,130.4
2155,24,6.1,0,0.29,14.49,4.26,20,130.4
2156,25,5.6,0,0.32,14.66,3.84,21.1,130.4
2157,26,5,0,0.35,13.02,3.68,24.4,130.4
2158,27,5.6,0,0.21,14.6,4.28,23.3,130.4
2159,28,4.4,0,0.31,14.59,4.24,23.3,130.4
2160,29,4.4,0,0.17,14.89,4.18,22.2,130.1
2161,30,2.8,0,0.11,15.02,4.01,21.7,127.5
2162,1,3.3,0,0.13,14.95,3.95,23.3,127.5
2163,2,4.4,0,0.12,14.94,3.84,17.8,127.5
2164,3,5.6,0,0.19,14.79,4.17,22.2,127.5
2165,4,5,0,0.23,14.57,4.66,22.8,127.5
2166,5,3.9,0,0.21,14.56,4.72,22.2,127.5
2167,6,4.4,0,0.19,14.54,4.08,20,127.2
2168,7,2.8,0,0.24,14.57,4.53,20.6,124.7
2169,8,3.3,0,0.28,14.59,4.68,21.1,124.7
2170,9,2.8,0,0.18,14.48,4.25,21.7,124.7
2171,10,2.2,0,0.25,14.5,4.85,22.2,124.4
2172,11,1.1,0,0.2,14.42,4.6,21.1,121.9
2173,12,3.3,0,0.21,14.59,4.34,22.2,121.6
2174,13,3.3,0,0.19,14.6,4.66,24.4,119
2175,14,3.3,0,0.19,14.65,4.53,22.2,119
2176,15,3.3,0,0.16,14.59,4.25,21.1,119
2177,16,3.3,0,0.19,14.56,4.22,22.2,118.7
2178,17,3.3,0,0.21,14.15,2.93,21.1,116.2
2179,18,2.2,0,0.69,3.83,2.44,20,116.2
2180,19,3.3,0,0.37,13.88,4.28,20,116.2
2181,20,3.3,0,0.22,14.15,4.67,22.2,115.9
2182,21,4.4,0,0.31,14.41,4.21,20,113.4
2183,22,2.2,0,0.38,14.45,4.63,21.1,113.4
2184,23,1.1,0,0.33,14.59,4.6,22.2,113.4
2185,24,2.2,0,0.37,0.09,6.72,23.3,113.1
2186,25,2.2,0,0.32,14.42,4.24,21.1,110.5
2187,26,5.6,6,0.31,14.66,4.4,12.2,110.5
2188,27,5,0,0.29,14.34,3.84,18.3,110.5
2189,28,4.4,0,0.56,11.45,4.78,20,110.5
2190,29,3.9,0,0.57,14.58,4.71,23.3,110.5
2191,30,4.4,0,0.57,14.76,5.15,23.9,110.5
2192,31,2.8,0,0.54,14.83,4.9,22.2,110.5
2193,1,3.3,0,0.57,14.81,4.92,20.6,110.2
2194,2,2.8,0,0.58,14.93,4.44,21.7,107.7
2195,3,3.3,0,0.54,14.81,4.24,21.1,107.7
2196,4,2.8,0,0.52,14.75,4.47,20,107.7
2197,5,5,0,0.44,15.22,5,20,107.7
2198,6,4.4,0,0.42,15.3,4.73,17.8,107.7
2199,7,3.9,0,0.43,15.44,4.79,20.6,107.7
2200,8,2.8,0,0.42,15.08,4.1,20,107.7
2201,9,3.3,0,0.49,15.09,4.71,18.9,107.7
2202,10,2.8,0,0.45,15.05,3.69,21.1,107.4
2203,11,2.2,0,0.76,4.5,2.6,19.4,104.9
2204,12,2.2,0,0.9,1.28,2.97,20,104.9
2205,13,2.8,0,0.81,3.8,3.23,20.6,104.9
2206,14,2.8,0,0.67,13.29,4.13,21.1,104.9
2207,15,3.3,0,0.6,16.2,4.21,20,104.9
2208,16,3.3,0,0.59,16.05,3.51,17.8,104.9
2209,17,2.8,0,0.47,16.32,4.58,19.4,104.6
2210,18,2.8,0,0.28,16.73,4.28,18.9,102
2211,19,4.4,2,0.48,16.11,3.07,15.6,102
2212,20,5,14,0.54,13.51,3.58,11.1,102
2213,21,2.2,5,0.39,16.64,4.14,8.9,102
2214,22,2.2,0,0.26,16.49,3.78,12.2,102
2215,23,1.7,0,0.3,16.77,3.93,15.6,102
2216,24,2.2,0,0.33,17.07,3.63,16.7,102
2217,25,2.8,0,0.37,17.22,3.77,17.8,102
2218,26,2.2,0,0.65,15.48,1.75,20,102
2219,27,3.3,0,0.68,9.42,2.83,17.8,102
2220,28,2.8,2.5,0.35,17.6,3.94,11.1,102
2221,29,3.3,0,0.19,18.1,3.77,20,102
2222,30,4.4,0,0.2,18.33,3.48,20,102
2223,31,4.4,0,0.19,18.44,3.68,21.1,102
2224,1,3.3,0,0.5,17.8,2.79,18.9,102
2225,2,3.9,4.2,0.63,14,2.79,20,102
2226,3,5.6,2.6,0.61,11.96,3.65,10,102
2227,4,3.9,0,0.25,18.67,3.78,12.2,102
2228,5,2.8,0,0.31,18.63,4.06,17.8,102
2229,6,2.2,0,0.29,18.59,3.7,17.2,102
2230,7,3.3,0,0.36,18.85,3.6,17.8,102
2231,8,4.4,0,0.43,18.94,3.48,18.9,102
2232,9,4.4,1,0.31,19.41,4.34,12.2,102
2233,10,6.7,2.2,0.27,19.77,4.14,17.8,102
2234,11,7.8,1,0.29,19.71,4.3,18.9,102
2235,12,5.6,0,0.31,19.79,4.29,17.8,102
2236,13,5.6,0,0.25,20.01,3.72,17.8,102
2237,14,7.8,0,0.3,20.22,3.6,23.3,102
2238,15,6.7,0,0.36,20.05,4.17,22.2,102
2239,16,5.6,0,0.36,20.27,3.87,21.1,102
2240,17,4.4,0,0.58,11.43,2.98,20,102
2241,18,5.6,0,0.47,19.55,3.35,22.2,102
2242,19,4.4,0,0.33,20.8,4.24,23.3,102
2243,20,3.3,0,0.34,21.13,4.92,21.1,102
2244,21,5.6,0,0.36,20.78,3.73,22.2,102
2245,22,8.9,0,0.36,19.75,4.11,22.2,102
2246,23,5.6,0,0.45,12.67,4.78,21.1,102
2247,24,6.7,0,0.25,21.47,4.41,25.6,101.7
2248,25,6.7,12,0.24,22.13,4.37,21.1,99.2
2249,26,7.2,3.5,0.24,22,3.95,18.3,99.2
2250,27,5.6,0,0.34,20.74,3.41,23.3,99.2
2251,28,6.7,0,0.32,21.73,4.3,24.4,99.2
2252,1,7.8,0,0.35,19.12,3.44,27.8,99.2
2253,2,11.1,0,0.33,22.04,3.73,29.4,99.2
2254,3,12.2,1,0.34,19.09,3.65,20,99.2
2255,4,10,0,0.4,21.75,3.83,26.7,99.5
2256,5,9.4,0,0.41,14.69,3.28,27.2,102
2257,6,10.6,0,0.34,20.67,3.21,28.9,102
2258,7,11.1,0,0.61,16.54,2.01,24.4,102
2259,8,10,0,0.76,14.63,2.16,27.8,102
2260,9,10.6,0,0.45,20.32,4.12,27.2,102
2261,10,11.1,0,0.37,21.93,3.63,24.4,102.3
2262,11,11.7,0,0.7,6.14,2.99,25.6,105.1
2263,12,13.3,0,0.58,16.89,2.56,28.3,110.2
2264,13,12.8,0,0.46,21.4,2.83,18.9,107.7
2265,14,11.1,0,0.34,24.72,4.14,26.7,108
2266,15,10,0,0.42,16.05,3.55,24.4,110.5
